latency_ms,cdf
0.5340,0.0100
0.5430,0.0201
0.6930,0.0300
0.8930,0.0401
0.9710,0.0500
1.0400,0.0601
1.0500,0.0700
1.0540,0.0801
1.0570,0.0900
1.0580,0.1001
1.0600,0.1100
1.0610,0.1201
1.0620,0.1300
1.0630,0.1401
1.0640,0.1500
1.0650,0.1601
1.0660,0.1700
1.0670,0.1801
1.0680,0.1900
1.0680,0.2000
1.0690,0.2100
1.0700,0.2200
1.0700,0.2300
1.0710,0.2400
1.0720,0.2500
1.0720,0.2600
1.0730,0.2700
1.0740,0.2800
1.0740,0.2900
1.0750,0.3000
1.0760,0.3100
1.0760,0.3200
1.0770,0.3300
1.0770,0.3400
1.0780,0.3500
1.0790,0.3600
1.0790,0.3700
1.0800,0.3800
1.0800,0.3900
1.0810,0.4000
1.0820,0.4100
1.0820,0.4200
1.0830,0.4300
1.0840,0.4400
1.0850,0.4500
1.0850,0.4600
1.0860,0.4700
1.0870,0.4800
1.0880,0.4900
1.0890,0.5000
1.0910,0.5100
1.0920,0.5200
1.0930,0.5300
1.0950,0.5400
1.0970,0.5500
1.1000,0.5600
1.1030,0.5700
1.1080,0.5800
1.1150,0.5900
1.1300,0.6000
1.1510,0.6100
1.1780,0.6200
1.1970,0.6300
1.2200,0.6400
1.2460,0.6500
1.2870,0.6600
1.3270,0.6700
1.3940,0.6800
1.4280,0.6900
1.4760,0.7000
1.5220,0.7100
1.5680,0.7200
1.5820,0.7300
1.5890,0.7400
1.5940,0.7500
1.5980,0.7600
1.6010,0.7700
1.6040,0.7800
1.6060,0.7900
1.6090,0.8000
1.6110,0.8100
1.6140,0.8200
1.6160,0.8300
1.6190,0.8400
1.6220,0.8500
1.6250,0.8600
1.6290,0.8700
1.6340,0.8800
1.6410,0.8900
1.6520,0.9000
1.6800,0.9100
1.7260,0.9200
1.7690,0.9300
1.8400,0.9400
1.9450,0.9500
2.0870,0.9600
2.1420,0.9700
2.1840,0.9800
2.3540,0.9900
1102.5430,1.0000
