latency_ms,cdf
4.8830,0.0101
5.4150,0.0200
5.5110,0.0300
5.6390,0.0401
5.8430,0.0501
5.8990,0.0600
5.9130,0.0700
5.9180,0.0801
5.9240,0.0900
5.9290,0.1000
5.9320,0.1100
5.9350,0.1201
5.9380,0.1300
5.9400,0.1400
5.9440,0.1500
5.9470,0.1601
5.9500,0.1700
5.9520,0.1800
5.9550,0.1900
5.9580,0.2000
5.9610,0.2100
5.9630,0.2200
5.9660,0.2300
5.9680,0.2400
5.9700,0.2500
5.9720,0.2600
5.9760,0.2701
5.9770,0.2800
5.9800,0.2900
5.9830,0.3000
5.9860,0.3101
5.9880,0.3200
5.9910,0.3300
5.9940,0.3400
5.9980,0.3500
6.0000,0.3600
6.0030,0.3700
6.0080,0.3800
6.0110,0.3900
6.0140,0.4000
6.0180,0.4100
6.0210,0.4200
6.0260,0.4300
6.0290,0.4400
6.0340,0.4500
6.0400,0.4600
6.0440,0.4700
6.0510,0.4800
6.0570,0.4900
6.0640,0.5000
6.0720,0.5100
6.0830,0.5200
6.0920,0.5300
6.1060,0.5400
6.1150,0.5500
6.1330,0.5600
6.1520,0.5700
6.1740,0.5800
6.2000,0.5900
6.2380,0.6000
6.3560,0.6100
6.4370,0.6200
6.4530,0.6300
6.4600,0.6400
6.4670,0.6500
6.4730,0.6600
6.4780,0.6700
6.4830,0.6800
6.4870,0.6899
6.4910,0.7000
6.4960,0.7100
6.5010,0.7200
6.5060,0.7299
6.5100,0.7400
6.5140,0.7500
6.5190,0.7600
6.5230,0.7700
6.5280,0.7800
6.5330,0.7900
6.5410,0.8000
6.5450,0.8100
6.5510,0.8200
6.5590,0.8300
6.5680,0.8399
6.5770,0.8500
6.5890,0.8600
6.6010,0.8700
6.6190,0.8799
6.6450,0.8900
6.6920,0.9000
6.7960,0.9100
7.0080,0.9199
7.0450,0.9300
7.0820,0.9400
7.1440,0.9499
7.3030,0.9599
7.6460,0.9700
8.0750,0.9800
8.4010,0.9899
81.3140,1.0000
