latency_ms,cdf
1.0820,0.0100
1.1450,0.0200
1.4140,0.0300
1.4960,0.0400
1.5710,0.0500
1.5920,0.0600
1.6020,0.0700
1.6080,0.0800
1.6120,0.0900
1.6160,0.1000
1.6180,0.1100
1.6210,0.1200
1.6230,0.1300
1.6260,0.1400
1.6280,0.1500
1.6320,0.1600
1.6340,0.1700
1.6370,0.1800
1.6400,0.1900
1.6430,0.2000
1.6460,0.2100
1.6510,0.2200
1.6570,0.2300
1.6650,0.2400
1.6800,0.2500
1.6970,0.2600
1.7230,0.2700
1.7460,0.2800
1.7700,0.2900
1.7970,0.3000
1.8210,0.3100
1.8540,0.3200
1.8820,0.3300
1.9160,0.3400
1.9400,0.3500
1.9630,0.3600
1.9900,0.3700
2.0180,0.3800
2.0420,0.3900
2.0730,0.4000
2.0900,0.4100
2.1120,0.4200
2.1230,0.4300
2.1290,0.4400
2.1360,0.4500
2.1450,0.4600
2.1490,0.4700
2.1540,0.4800
2.1570,0.4900
2.1610,0.5000
2.1640,0.5100
2.1670,0.5200
2.1690,0.5300
2.1730,0.5400
2.1760,0.5500
2.1790,0.5600
2.1830,0.5700
2.1860,0.5800
2.1900,0.5900
2.1940,0.6000
2.1990,0.6100
2.2030,0.6200
2.2100,0.6300
2.2170,0.6400
2.2300,0.6500
2.2400,0.6600
2.2520,0.6700
2.2640,0.6800
2.2860,0.6900
2.3020,0.7000
2.3180,0.7100
2.3390,0.7200
2.3550,0.7300
2.3760,0.7400
2.4060,0.7500
2.4290,0.7600
2.4610,0.7700
2.4830,0.7800
2.5160,0.7900
2.5460,0.8000
2.5770,0.8100
2.6120,0.8200
2.6470,0.8300
2.6760,0.8400
2.6920,0.8500
2.7050,0.8600
2.7180,0.8700
2.7310,0.8800
2.7480,0.8900
2.7840,0.9000
2.8200,0.9100
2.8710,0.9200
2.9420,0.9300
3.0290,0.9400
3.1100,0.9500
3.2200,0.9600
3.3200,0.9700
3.5330,0.9800
4.0200,0.9900
121.7630,1.0000
